Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
12/31/25,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,5.91,,,,-5.91,3118.58,
12/31/25,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,5.91,3118.58,
12/31/25,DIVIDEND RECEIVED EXCHANGE TRADED CONCEPTS TRUST RANGE... (NUKZ) (Margin),NUKZ,EXCHANGE TRADED CONCEPTS TRUST RANGE NU,Margin,,0,,,,131.11,3112.67,
12/30/25,DIVIDEND RECEIVED PUBLIC STORAGE OPER CO COM (PSA) (Margin),PSA,PUBLIC STORAGE OPER CO COM,Margin,,0,,,,62.18,2981.56,
12/24/25,DIVIDEND RECEIVED VANGUARD INDEX FDS VANGUARD VALUE ET... (VTV) (Margin),VTV,VANGUARD INDEX FDS VANGUARD VALUE ETF F,Margin,,0,,,,129.3,2919.38,
12/24/25,DIVIDEND RECEIVED VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Margin),VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,Margin,,0,,,,1046.07,2790.08,
12/19/25,DIVIDEND RECEIVED ISHARES TR U.S. MED DVC ETF (IHI) (Margin),IHI,ISHARES TR U.S. MED DVC ETF,Margin,,0,,,,13.84,1744.01,
12/18/25,DIVIDEND RECEIVED VERTIV HOLDINGS CO COM CL A (VRT) (Margin),VRT,VERTIV HOLDINGS CO COM CL A,Margin,,0,,,,4.81,1730.17,
12/15/25,DIVIDEND RECEIVED ALPHABET INC CAP STK CL A (GOOGL) (Margin),GOOGL,ALPHABET INC CAP STK CL A,Margin,,0,,,,28.84,1725.36,
12/11/25,DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Margin),MSFT,MICROSOFT CORP,Margin,,0,,,,50.3,1696.52,
12/5/25,DIVIDEND RECEIVED CONSTELLATION ENERGY CORP COM (CEG) (Margin),CEG,CONSTELLATION ENERGY CORP COM,Margin,,0,,,,12.87,1646.22,
11/28/25,DIVIDEND RECEIVED SCHWAB CHARLES CORP COM (SCHW) (Margin),SCHW,SCHWAB CHARLES CORP COM,Margin,,0,,,,24.89,1633.35,
11/28/25,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,4.72,,,,-4.72,1608.46,
11/28/25,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,4.72,1608.46,
11/14/25,DIVIDEND RECEIVED COSTCO WHOLESALE CORP COM (COST) (Margin),COST,COSTCO WHOLESALE CORP COM,Margin,,0,,,,19.5,1603.74,
11/6/25,FOREIGN TAX PAID ASML HOLDING NV EUR0.09 NY REGISTRY ... (ASML) (Margin),ASML,ASML HOLDING NV EUR0.09 NY REGISTRY SHS,Margin,,0,,,,-5.57,1584.24,
11/6/25,DIVIDEND RECEIVED ASML HOLDING NV EUR0.09 NY REGISTRY ... (ASML) (Margin),ASML,ASML HOLDING NV EUR0.09 NY REGISTRY SHS,Margin,,0,,,,37.13,1589.81,
11/3/25,DIVIDEND RECEIVED FREEPORT-MCMORAN INC COM USD0.10 (FCX) (Margin),FCX,FREEPORT-MCMORAN INC COM USD0.10,Margin,,0,,,,29.37,1552.68,
10/31/25,DIVIDEND RECEIVED SPDR S&P500 ETF TRUST TRUST UNIT DEP... (SPY) (Margin),SPY,SPDR S&P500 ETF TRUST TRUST UNIT DEPOSI,Margin,,0,,,,82.66,1523.31,
10/31/25,DIVIDEND RECEIVED JPMORGAN CHASE &CO. COM (JPM) (Margin),JPM,JPMORGAN CHASE &CO. COM,Margin,,0,,,,60,1440.65,
10/31/25,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,4.35,,,,-4.35,1380.65,
10/31/25,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,4.35,1380.65,
10/9/25,FOREIGN TAX PAID TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Margin),TSM,TAIWAN SEMICONDUCTOR MANUFACTURING SPON,Margin,,0,,,,-23.72,1376.3,
10/9/25,DIVIDEND RECEIVED TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Margin),TSM,TAIWAN SEMICONDUCTOR MANUFACTURING SPON,Margin,,0,,,,112.94,1400.02,
10/1/25,DIVIDEND RECEIVED VANGUARD INDEX FDS VANGUARD VALUE ET... (VTV) (Margin),VTV,VANGUARD INDEX FDS VANGUARD VALUE ETF F,Margin,,0,,,,123.68,1287.08,
10/1/25,DIVIDEND RECEIVED VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Margin),VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,Margin,,0,,,,1027.76,1163.4,
9/30/25,DIVIDEND RECEIVED PUBLIC STORAGE OPER CO COM (PSA) (Margin),PSA,PUBLIC STORAGE OPER CO COM,Margin,,0,,,,62.18,135.64,
9/30/25,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,4.33,,,,-4.33,73.46,
9/30/25,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,4.33,73.46,
9/26/25,WIRE TRANSFER TO BANK (Cash),,No Description,Cash,,0,,,,-7360.91,69.13,
9/25/25,DIVIDEND RECEIVED VERTIV HOLDINGS CO COM CL A (VRT) (Margin),VRT,VERTIV HOLDINGS CO COM CL A,Margin,,0,,,,2.89,7430.04,
9/23/25,YOU SOLD SPDR S&P500 ETF TRUST TRUST UNIT DEP... (SPY) (Margin),SPY,SPDR S&P500 ETF TRUST TRUST UNIT DEPOSI,Margin,663,-0.859,,,,569.51,7427.15,9/24/25
9/23/25,YOU SOLD SPDR S&P500 ETF TRUST TRUST UNIT DEP... (SPY) (Margin),SPY,SPDR S&P500 ETF TRUST TRUST UNIT DEPOSI,Margin,662.99,-10,,,,6629.9,6857.64,9/24/25
9/19/25,DIVIDEND RECEIVED ISHARES TR U.S. MED DVC ETF (IHI) (Margin),IHI,ISHARES TR U.S. MED DVC ETF,Margin,,0,,,,13.35,227.74,
9/15/25,DIVIDEND RECEIVED ALPHABET INC CAP STK CL A (GOOGL) (Margin),GOOGL,ALPHABET INC CAP STK CL A,Margin,,0,,,,28.84,214.39,
9/11/25,DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Margin),MSFT,MICROSOFT CORP,Margin,,0,,,,45.88,185.55,
9/5/25,DIVIDEND RECEIVED CONSTELLATION ENERGY CORP COM (CEG) (Margin),CEG,CONSTELLATION ENERGY CORP COM,Margin,,0,,,,12.87,139.67,
8/29/25,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,13.01,,,,-13.01,126.8,
8/29/25,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,13.01,126.8,
8/22/25,DIVIDEND RECEIVED SCHWAB CHARLES CORP COM (SCHW) (Margin),SCHW,SCHWAB CHARLES CORP COM,Margin,,0,,,,24.89,113.79,
8/15/25,DIVIDEND RECEIVED COSTCO WHOLESALE CORP COM (COST) (Margin),COST,COSTCO WHOLESALE CORP COM,Margin,,0,,,,19.5,88.9,
8/6/25,FOREIGN TAX PAID ASML HOLDING NV EUR0.09 NY REGISTRY ... (ASML) (Margin),ASML,ASML HOLDING NV EUR0.09 NY REGISTRY SHS,Margin,,0,,,,-5.52,69.4,
8/6/25,DIVIDEND RECEIVED ASML HOLDING NV EUR0.09 NY REGISTRY ... (ASML) (Margin),ASML,ASML HOLDING NV EUR0.09 NY REGISTRY SHS,Margin,,0,,,,36.78,74.92,
8/1/25,DIVIDEND RECEIVED FREEPORT-MCMORAN INC COM USD0.10 (FCX) (Margin),FCX,FREEPORT-MCMORAN INC COM USD0.10,Margin,,0,,,,29.37,38.14,
8/1/25,YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Margin),VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,Margin,574,67,,,,-38457.8,8.77,8/4/25
8/1/25,YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Margin),VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,Margin,573.99,0.944,,,,-541.85,38466.57,8/4/25
7/31/25,DIVIDEND RECEIVED SPDR S&P500 ETF TRUST TRUST UNIT DEP... (SPY) (Margin),SPY,SPDR S&P500 ETF TRUST TRUST UNIT DEPOSI,Margin,,0,,,,79.5,39008.42,
7/31/25,DIVIDEND RECEIVED JPMORGAN CHASE &CO. COM (JPM) (Margin),JPM,JPMORGAN CHASE &CO. COM,Margin,,0,,,,56,38928.92,
7/31/25,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,60.97,,,,-60.97,38872.92,
7/31/25,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,60.97,38872.92,
7/17/25,WIRE TRANSFER FROM BANK (Cash),,No Description,Cash,,0,,,,37600,38811.95,
7/10/25,FOREIGN TAX PAID TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Margin),TSM,TAIWAN SEMICONDUCTOR MANUFACTURING SPON,Margin,,0,,,,-22.51,1211.95,
7/10/25,DIVIDEND RECEIVED TAIWAN SEMICONDUCTOR MANUFACTURING S... (TSM) (Margin),TSM,TAIWAN SEMICONDUCTOR MANUFACTURING SPON,Margin,,0,,,,107.21,1234.46,
7/2/25,DIVIDEND RECEIVED VANGUARD INDEX FDS VANGUARD VALUE ET... (VTV) (Margin),VTV,VANGUARD INDEX FDS VANGUARD VALUE ETF F,Margin,,0,,,,126.32,1127.25,
7/2/25,DIVIDEND RECEIVED VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Margin),VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,Margin,,0,,,,912,1000.93,
6/30/25,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,8.66,,,,-8.66,88.93,
6/30/25,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,8.66,88.93,
6/27/25,DIVIDEND RECEIVED PUBLIC STORAGE OPER CO COM (PSA) (Margin),PSA,PUBLIC STORAGE OPER CO COM,Margin,,0,,,,62.18,80.27,
6/26/25,DIVIDEND RECEIVED VERTIV HOLDINGS CO COM CL A (VRT) (Margin),VRT,VERTIV HOLDINGS CO COM CL A,Margin,,0,,,,2.89,18.09,
6/20/25,DIVIDEND RECEIVED ISHARES TR U.S. MED DVC ETF (IHI) (Margin),IHI,ISHARES TR U.S. MED DVC ETF,Margin,,0,,,,12.14,15.2,
6/17/25,YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Margin),VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,Margin,551.11,11,,,,-6062.21,3.06,6/18/25
6/17/25,YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Margin),VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,Margin,551.13,0.758,,,,-417.76,6065.27,6/18/25
6/16/25,DIVIDEND RECEIVED ALPHABET INC CAP STK CL A (GOOGL) (Margin),GOOGL,ALPHABET INC CAP STK CL A,Margin,,0,,,,28.84,6483.03,
6/16/25,WIRE TRANSFER FROM BANK (Cash),,No Description,Cash,,0,,,,1827,6454.19,
6/12/25,DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Margin),MSFT,MICROSOFT CORP,Margin,,0,,,,45.88,4627.19,
6/6/25,DIVIDEND RECEIVED CONSTELLATION ENERGY CORP COM (CEG) (Margin),CEG,CONSTELLATION ENERGY CORP COM,Margin,,0,,,,12.87,4581.31,
5/30/25,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,5.95,,,,-5.95,4568.44,
5/30/25,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,5.95,4568.44,
5/23/25,DIVIDEND RECEIVED SCHWAB CHARLES CORP COM (SCHW) (Margin),SCHW,SCHWAB CHARLES CORP COM,Margin,,0,,,,24.89,4562.49,
5/23/25,WIRE TRANSFER FROM BANK (Cash),,No Description,Cash,,0,,,,4436.1,4537.6,
5/16/25,DIVIDEND RECEIVED COSTCO WHOLESALE CORP COM (COST) (Margin),COST,COSTCO WHOLESALE CORP COM,Margin,,0,,,,19.5,101.5,
5/6/25,FOREIGN TAX PAID ASML HOLDING NV EUR0.09 NY REGISTRY ... (ASML) (Margin),ASML,ASML HOLDING NV EUR0.09 NY REGISTRY SHS,Margin,,0,,,,-6.25,82,
5/6/25,DIVIDEND RECEIVED ASML HOLDING NV EUR0.09 NY REGISTRY ... (ASML) (Margin),ASML,ASML HOLDING NV EUR0.09 NY REGISTRY SHS,Margin,,0,,,,41.64,88.25,
5/1/25,DIVIDEND RECEIVED FREEPORT-MCMORAN INC COM USD0.10 (FCX) (Margin),FCX,FREEPORT-MCMORAN INC COM USD0.10,Margin,,0,,,,29.37,46.61,
5/1/25,YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Margin),VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,Margin,516.13,57,,,,-29419.13,17.24,5/2/25
5/1/25,YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Margin),VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,Margin,516.13,0.35,,,,-180.64,29436.37,5/2/25
