Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
12/5/24,YOU SOLD INVESCO EXCHANGE TRADED FD TR S&P500... (RSP) (Cash),RSP,INVESCO EXCHANGE TRADED FD TR S&P500 EQ,Cash,185.84,-60,,0.31,,11149.79,-4114.46,12/6/24
12/5/24,YOU BOUGHT AMAZON.COM INC (AMZN) (Cash),AMZN,AMAZON.COM INC,Cash,219.95,45,,,,-9897.75,-15264.25,12/6/24
12/5/24,YOU BOUGHT AMAZON.COM INC (AMZN) (Cash),AMZN,AMAZON.COM INC,Cash,219.97,0.464,,,,-102.07,-5366.5,12/6/24
12/5/24,YOU BOUGHT ALPHABET INC CAP STK CL A (GOOGL) (Cash),GOOGL,ALPHABET INC CAP STK CL A,Cash,173.51,30,,,,-5205.33,-5264.43,12/6/24
12/5/24,YOU BOUGHT ALPHABET INC CAP STK CL A (GOOGL) (Cash),GOOGL,ALPHABET INC CAP STK CL A,Cash,173.51,0.545,,,,-94.56,-59.1,12/6/24
11/29/24,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,10.63,,,,-10.63,35.46,
11/29/24,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,10.63,35.46,
11/27/24,WIRE TRANSFER TO BANK (Cash),,No Description,Cash,,0,,,,-6087.67,24.83,
11/22/24,DIVIDEND RECEIVED SCHWAB CHARLES CORP COM (SCHW) (Cash),SCHW,SCHWAB CHARLES CORP COM,Cash,,0,,,,23.05,6112.5,
11/20/24,YOU SOLD SPDR S&P500 ETF TRUST TRUST UNIT DEP... (SPY) (Cash),SPY,SPDR S&P500 ETF TRUST TRUST UNIT DEPOSI,Cash,586.77,-0.867,,0.02,,508.71,6089.45,11/21/24
11/20/24,YOU SOLD SPDR S&P500 ETF TRUST TRUST UNIT DEP... (SPY) (Cash),SPY,SPDR S&P500 ETF TRUST TRUST UNIT DEPOSI,Cash,586.79,-6,,0.1,,3520.61,5580.74,11/21/24
