Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
12/31/21,DIVIDEND RECEIVED INVESCO EXCHANGE TRADED FD TR S&P500... (RSP) (Cash),RSP,INVESCO EXCHANGE TRADED FD TR S&P500 EQ,Cash,,0,,,,78.09,6850.39,
12/31/21,REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,1,0.11,,,,-0.11,6772.3,
12/31/21,DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash),SPAXX,FIDELITY GOVERNMENT MONEY MARKET,Cash,,0,,,,0.11,6772.3,
12/23/21,DIVIDEND RECEIVED SELECT SECTOR SPDR TRUST STATE STREE... (XLRE) (Cash),XLRE,SELECT SECTOR SPDR TRUST STATE STREET R,Cash,,0,,,,148.41,6772.19,
12/21/21,DIVIDEND RECEIVED VANGUARD WORLD FD UTILITIES ETF (VPU) (Cash),VPU,VANGUARD WORLD FD UTILITIES ETF,Cash,,0,,,,69.67,6623.78,
12/20/21,DIVIDEND RECEIVED NUSHARES ETF TR NUVEEN ESG MIDCP (NUMG) (Cash),NUMG,NUSHARES ETF TR NUVEEN ESG MIDCP,Cash,,0,,,,2.72,6554.11,
12/20/21,LONG-TERM CAP GAIN NUSHARES ETF TR NUVEEN ESG MIDCP (NUMG) (Cash),NUMG,NUSHARES ETF TR NUVEEN ESG MIDCP,Cash,,0,,,,495.18,6551.39,
12/20/21,SHORT-TERM CAP GAIN NUSHARES ETF TR NUVEEN ESG MIDCP (NUMG) (Cash),NUMG,NUSHARES ETF TR NUVEEN ESG MIDCP,Cash,,0,,,,1056.08,6056.21,
12/15/21,YOU BOUGHT SCHWAB US LARGE-CAP GROWTH ETF (SCHG) (Cash),SCHG,SCHWAB US LARGE-CAP GROWTH ETF,Cash,158.11,120,,,,-18973.2,5000.13,12/17/21
12/15/21,YOU BOUGHT SCHWAB US LARGE-CAP GROWTH ETF (SCHG) (Cash),SCHG,SCHWAB US LARGE-CAP GROWTH ETF,Cash,158.11,0.31,,,,-49.01,23973.33,12/17/21
12/14/21,YOU SOLD VANGUARD SMALL CAP VALUE ETF (VBR) (Cash),VBR,VANGUARD SMALL CAP VALUE ETF,Cash,173.14,-0.952,,0.01,,164.82,24022.34,12/16/21
12/14/21,YOU SOLD VANGUARD SMALL CAP VALUE ETF (VBR) (Cash),VBR,VANGUARD SMALL CAP VALUE ETF,Cash,173.14,-80,,0.08,,13851.12,23857.52,12/16/21
12/14/21,YOU SOLD VANGUARD SMALL-CAP GROWTH INDEX FUND (VBK) (Cash),VBK,VANGUARD SMALL-CAP GROWTH INDEX FUND,Cash,272.01,-0.958,,0.01,,260.58,10006.4,12/16/21
12/14/21,YOU SOLD VANGUARD SMALL-CAP GROWTH INDEX FUND (VBK) (Cash),VBK,VANGUARD SMALL-CAP GROWTH INDEX FUND,Cash,272.01,-59,,0.09,,16048.5,9745.82,12/16/21
12/14/21,YOU SOLD EX-DIV DATE 12/20/21RECORD DATE 12/21/21PAYABLE DTE 12/23/21 VANGUARD INTL EQUITY INDEX FDS FTSE ... (VWO) (Cash),VWO,VANGUARD INTL EQUITY INDEX FDS FTSE EMR,Cash,49.14,-0.989,,0.01,,48.59,-6302.68,12/16/21
12/14/21,YOU SOLD VANGUARD INTL EQUITY INDEX FDS FTSE ... (VWO) (Cash),VWO,VANGUARD INTL EQUITY INDEX FDS FTSE EMR,Cash,49.14,-176,,0.05,,8648.59,-6351.27,12/16/21
