Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
0.03%,Q,QNITY ELECTRONICS INC,--,"$25,106.18 ",278
0.03%,LVS,LAS VEGAS SANDS CORP,--,"$24,756.29 ",403
0.03%,PKG,PACKAGING CORP OF AMERICA,--,"$24,610.39 ",119
0.03%,ZBH,ZIMMER BIOMET HOLDINGS INC,--,"$24,372.21 ",263
0.03%,GPN,GLOBAL PAYMENTS INC,--,"$24,335.00 ",314
0.03%,SNA,SNAP-ON INC,--,"$24,328.02 ",69
0.03%,INCY,INCYTE CORP,--,"$24,214.83 ",219
0.03%,CHTR,CHARTER COMMUNICATIONS INC-A,--,"$24,144.12 ",117
0.03%,PFG,PRINCIPAL FINANCIAL GROUP,--,"$24,083.20 ",265
0.03%,DD,DUPONT DE NEMOURS INC,--,"$24,035.88 ",556
0.03%,L,LOEWS CORP,--,"$23,726.25 ",225
0.03%,IT,GARTNER INC,--,"$23,584.32 ",96
0.03%,APTV,APTIV PLC,--,"$23,577.05 ",287
0.03%,DOW,DOW INC,--,"$23,361.60 ",942
0.03%,ROL,ROLLINS INC,--,"$23,066.60 ",388
0.03%,IFF,INTL FLAVORS & FRAGRANCES,--,"$22,882.00 ",340
0.03%,FTV,FORTIVE CORP,--,"$22,792.94 ",421
0.03%,GPC,GENUINE PARTS CO,--,"$22,551.04 ",184
0.03%,TTD,TRADE DESK INC/THE -CLASS A,--,"$22,532.95 ",583
0.03%,CDW,CDW CORP/DE,--,"$22,410.42 ",173
0.03%,COO,COOPER COS INC/THE,--,"$22,149.60 ",264
0.03%,WY,WEYERHAEUSER CO,--,"$22,136.90 ",955
0.03%,EVRG,EVERGY INC,--,"$22,115.55 ",305
0.03%,HOLX,HOLOGIC INC,--,"$22,113.20 ",295
0.03%,LNT,ALLIANT ENERGY CORP,--,"$22,028.60 ",341
0.03%,MKC,MCCORMICK & CO-NON VTG SHRS,--,"$21,964.32 ",336
0.03%,J,JACOBS SOLUTIONS INC,--,"$21,751.20 ",159
0.03%,PNR,PENTAIR PLC,--,"$21,713.02 ",217
0.03%,ESS,ESSEX PROPERTY TRUST INC,--,"$21,340.10 ",85
0.03%,LII,LENNOX INTERNATIONAL INC,--,"$21,208.74 ",42
0.03%,TSN,TYSON FOODS INC-CL A,--,"$21,075.00 ",375
0.03%,GDDY,GODADDY INC - CLASS A,--,"$21,028.92 ",179
0.03%,MAA,MID-AMERICA APARTMENT COMM,--,"$20,921.90 ",155
0.03%,TXT,TEXTRON INC,--,"$20,727.72 ",234
0.03%,FOXA,FOX CORP - CLASS A,--,"$20,708.28 ",276
0.03%,FFIV,F5 INC,--,"$20,629.84 ",77
0.03%,JBHT,HUNT (JB) TRANSPRT SVCS INC,--,"$20,382.00 ",100
0.03%,SMCI,SUPER MICRO COMPUTER INC,--,"$19,926.64 ",664
0.03%,DECK,DECKERS OUTDOOR CORP,--,"$19,886.72 ",193
0.03%,INVH,INVITATION HOMES INC,--,"$19,728.27 ",747
0.03%,GEN,GEN DIGITAL INC,--,"$19,425.84 ",744
0.02%,BALL,BALL CORP,--,"$19,003.15 ",355
0.02%,VTRS,VIATRIS INC,--,"$19,001.50 ","1,525"
0.02%,AVY,AVERY DENNISON CORP,--,"$18,594.59 ",103
0.02%,EG,EVEREST GROUP LTD,--,"$18,560.08 ",56
0.02%,HII,HUNTINGTON INGALLS INDUSTRIE,--,"$18,535.40 ",52
0.02%,RL,RALPH LAUREN CORP,--,"$18,407.94 ",51
0.02%,KIM,KIMCO REALTY CORP,--,"$18,238.38 ",898
0.02%,ALLE,ALLEGION PLC,--,"$18,128.28 ",114
0.02%,NDSN,NORDSON CORP,--,"$17,953.06 ",71
0.02%,IEX,IDEX CORP,--,"$17,868.51 ",99
0.02%,TKO,TKO GROUP HOLDINGS INC,--,"$17,856.08 ",88
0.02%,JKHY,JACK HENRY & ASSOCIATES INC,--,"$17,853.12 ",96
0.02%,BBY,BEST BUY CO INC,--,"$17,826.97 ",259
0.02%,MAS,MASCO CORP,--,"$17,746.80 ",276
0.02%,AKAM,AKAMAI TECHNOLOGIES INC,--,"$16,842.38 ",191
0.02%,BG,BUNGE GLOBAL SA,--,"$16,666.20 ",180
0.02%,DPZ,DOMINO'S PIZZA INC,--,"$16,625.50 ",41
0.02%,ZBRA,ZEBRA TECHNOLOGIES CORP-CL A,--,"$16,546.32 ",67
0.02%,MRNA,MODERNA INC,--,"$16,545.29 ",461
0.02%,SOLV,SOLVENTUM CORP,--,"$16,511.04 ",196
0.02%,CLX,CLOROX COMPANY,--,"$16,485.12 ",162
0.02%,IVZ,INVESCO LTD,--,"$16,337.10 ",590
0.02%,SWK,STANLEY BLACK & DECKER INC,--,"$16,210.14 ",206
0.02%,CF,CF INDUSTRIES HOLDINGS INC,--,"$16,040.43 ",207
0.02%,EPAM,EPAM SYSTEMS INC,--,"$15,928.60 ",73
0.02%,AIZ,ASSURANT INC,--,"$15,609.00 ",66
0.02%,DOC,HEALTHPEAK PROPERTIES INC,--,"$15,601.74 ",921
0.02%,RVTY,REVVITY INC,--,"$15,448.50 ",150
0.02%,HAS,HASBRO INC,--,"$15,402.54 ",177
0.02%,BLDR,BUILDERS FIRSTSOURCE INC,--,"$15,337.30 ",146
0.02%,LYB,LYONDELLBASELL INDU-CL A,--,"$15,314.31 ",341
0.02%,CPT,CAMDEN PROPERTY TRUST,--,"$15,260.43 ",141
0.02%,REG,REGENCY CENTERS CORP,--,"$15,257.82 ",218
0.02%,UHS,UNIVERSAL HEALTH SERVICES-B,--,"$15,212.47 ",73
0.02%,HST,HOST HOTELS & RESORTS INC,--,"$15,068.13 ",847
0.02%,ALGN,ALIGN TECHNOLOGY INC,--,"$14,846.09 ",89
0.02%,GL,GLOBE LIFE INC,--,"$14,814.56 ",106
0.02%,NCLH,NORWEGIAN CRUISE LINE HOLDIN,--,"$14,725.26 ",603
0.02%,DAY,DAYFORCE INC,--,"$14,712.80 ",212
0.02%,UDR,UDR INC,--,"$14,691.18 ",399
0.02%,FDS,FACTSET RESEARCH SYSTEMS INC,--,"$14,647.50 ",50
0.02%,CRL,CHARLES RIVER LABORATORIES,--,"$14,090.05 ",65
0.02%,PNW,PINNACLE WEST CAPITAL,--,"$13,896.60 ",159
0.02%,BAX,BAXTER INTERNATIONAL INC,--,"$13,892.40 ",681
0.02%,AES,AES CORP,--,"$13,626.35 ",943
0.02%,SJM,JM SMUCKER CO/THE,--,"$13,558.16 ",142
0.02%,TECH,BIO-TECHNE CORP,--,"$13,465.35 ",207
0.02%,FOX,FOX CORP - CLASS B,--,"$13,212.79 ",197
0.02%,NWSA,NEWS CORP - CLASS A,--,"$13,125.77 ",497
0.02%,WYNN,WYNN RESORTS LTD,--,"$13,033.44 ",112
0.02%,BXP,BXP INC,--,"$12,961.48 ",196
0.02%,MOH,MOLINA HEALTHCARE INC,--,"$11,993.84 ",68
0.02%,SWKS,SKYWORKS SOLUTIONS INC,--,"$11,784.54 ",197
0.01%,GNRC,GENERAC HOLDINGS INC,--,"$11,065.08 ",78
0.01%,ARE,ALEXANDRIA REAL ESTATE EQUIT,--,"$10,749.08 ",206
0.01%,MOS,MOSAIC CO/THE,--,"$10,651.30 ",421
0.01%,FRT,FEDERAL REALTY INVS TRUST,--,"$10,573.68 ",104
0.01%,HSIC,HENRY SCHEIN INC,--,"$10,392.62 ",133
0.01%,TAP,MOLSON COORS BEVERAGE CO - B,--,"$10,290.56 ",224
0.01%,BEN,FRANKLIN RESOURCES INC,--,"$10,261.20 ",408
0.01%,CAG,CONAGRA BRANDS INC,--,"$10,194.72 ",634
0.01%,PAYC,PAYCOM SOFTWARE INC,--,"$10,193.30 ",65
0.01%,POOL,POOL CORP,--,"$10,191.43 ",43
0.01%,MTCH,MATCH GROUP INC,--,"$10,168.08 ",312
0.01%,AOS,SMITH (A.O.) CORP,--,"$10,068.00 ",150
0.01%,ERIE,ERIE INDEMNITY COMPANY-CL A,--,"$9,584.60 ",34
0.01%,MGM,MGM RESORTS INTERNATIONAL,--,"$9,246.52 ",271
0.01%,HRL,HORMEL FOODS CORP,--,"$8,645.58 ",387
0.01%,LW,LAMB WESTON HOLDINGS INC,--,"$7,453.65 ",185
0.01%,CPB,THE CAMPBELL'S COMPANY,--,"$6,726.20 ",260
0.01%,BF/B,BROWN-FORMAN CORP-CLASS B,--,"$5,881.20 ",232
0.01%,DVA,DAVITA INC,--,"$5,217.47 ",47
0.01%,PSKY,PARAMOUNT SKYDANCE CL B,--,"$5,096.44 ",412
0.01%,NWS,NEWS CORP - CLASS B,--,"$4,944.60 ",164
--,--,NET OTHER ASSETS (LIABILITIES),--,"$104,992.92 ","104,993"
